,attrition,age,income,overtime
1247,1,42,4090,1
1248,0,52,6273,0
1249,1,27,3898,1
1250,1,39,2319,0
1251,1,49,4831,0
1252,1,26,3349,1
1253,0,35,6098,0
1254,1,35,3143,0
1255,1,58,3443,0
1256,1,31,2159,0
1257,0,51,4860,1
1258,1,47,5142,1
1259,1,29,4862,0
1260,1,26,2436,0
1261,0,32,3335,0
1262,0,35,6312,0
1263,1,29,2121,1
1264,1,33,4489,0
1265,0,55,5522,1
1266,1,56,4472,1
1267,1,45,5039,1
1268,1,55,2163,0
1269,0,45,4787,0
1270,0,56,6394,0
1271,1,40,5172,0
1272,0,33,4688,1
1273,0,28,6103,1
1274,0,45,6603,0
1275,0,55,5177,0
1276,0,37,6425,0
1277,0,27,6690,0
1278,0,57,5499,0
1279,0,51,6854,0
1280,1,26,4674,0
1281,1,42,3290,0
1282,1,52,3538,0
1283,0,32,6165,1
1284,0,55,4449,0
1285,1,55,3112,1
1286,0,30,6734,1
1287,0,32,4803,1
1288,0,42,6251,1
1289,1,31,2911,1
1290,0,37,3713,0
1291,0,27,6675,0
1292,0,30,5285,1
1293,1,39,5188,0
1294,0,26,3771,1
1295,1,39,5324,1
1296,0,32,6201,1
1297,1,30,4168,1
1298,1,45,3494,0
1299,0,38,6236,0
1300,0,38,4837,0
1301,1,30,3503,0
1302,1,58,3032,1
1303,1,53,6133,1
1304,0,38,5509,1
1305,0,26,6606,0
1306,0,41,4731,1
1307,1,35,5227,1
1308,0,46,4477,0
1309,0,35,6401,1
1310,1,26,3590,0
1311,1,48,3574,0
1312,1,31,6965,1
1313,1,50,3385,0
1314,1,30,3114,1
1315,0,25,5932,0
1316,1,29,5906,1
1317,1,33,3581,0
1318,1,35,2293,1
1319,0,35,5746,1
1320,1,52,5467,1
1321,1,36,5142,0
1322,0,37,5132,0
1323,0,46,6048,1
1324,1,32,2065,0
1325,0,29,6323,0
1326,1,36,4877,0
1327,0,28,6728,0
1328,1,31,2883,0
1329,0,51,5196,1
1330,0,58,6108,1
1331,0,38,5440,0
1332,1,36,2867,1
1333,1,54,2471,1
1334,1,27,5162,1
1335,0,38,5129,1
1336,1,32,3948,1
1337,0,49,6055,1
1338,0,46,6336,1
1339,1,39,5013,1
1340,1,31,3331,1
1341,1,42,3891,1
1342,1,55,4473,1
1343,0,59,6130,0
1344,1,31,2199,0
1345,0,45,4359,1
1346,1,28,3781,1
1347,1,52,2139,0
1348,0,51,4847,1
1349,0,57,4680,1
1350,1,27,3210,0
1351,1,45,4569,0
1352,0,50,6873,0
1353,1,28,3584,1
1354,1,41,2743,1
1355,1,40,5435,1
1356,0,54,6344,1
1357,1,50,3527,1
1358,1,38,2097,1
1359,0,54,6052,0
1360,1,45,5216,1
1361,0,35,6878,1
1362,0,36,5005,0
1363,1,39,4902,1
1364,0,58,6373,1
1365,1,45,3525,0
1366,1,37,4414,1
1367,1,28,2119,0
1368,1,53,3792,1
1369,1,50,3760,0
1370,1,46,4393,1
1371,1,54,4512,0
1372,1,55,4493,0
1373,1,46,3695,1
1374,1,43,5727,1
1375,1,50,2283,1
1376,1,32,3849,1
1377,0,54,4921,0
1378,0,52,5982,1
1379,0,59,2725,1
1380,1,51,4894,0
1381,1,59,5214,1
1382,1,30,2233,0
1383,0,39,5011,1
1384,1,39,4955,1
1385,0,59,5072,0
1386,1,50,2021,0
1387,0,51,4942,1
1388,0,29,5598,1
1389,1,32,2421,1
1390,1,29,2117,0
1391,0,34,5590,1
1392,1,30,2582,1
1393,1,48,5545,0
1394,1,58,5334,0
1395,1,56,2697,0
1396,1,33,2207,0
1397,0,32,4972,1
1398,1,46,2811,1
1399,0,54,3840,0
1400,0,26,6110,1
1401,0,47,6048,0
1402,0,41,6541,0
1403,1,27,3688,1
1404,1,32,5382,1
1405,1,52,6968,0
1406,0,36,5439,1
1407,0,28,6061,0
1408,1,51,4583,1
1409,1,31,6334,1
1410,1,39,4486,1
1411,1,39,2777,1
1412,1,25,4302,0
1413,1,41,2401,0
1414,0,40,6115,1
1415,1,44,4910,0
1416,0,43,6601,0
1417,1,37,3241,1
1418,1,49,2962,0
1419,1,27,2070,1
1420,1,47,3920,0
1421,1,53,2739,0
1422,1,56,2671,0
1423,0,38,4946,0
1424,1,25,4282,1
1425,1,53,2543,1
1426,1,45,5670,0
1427,1,41,2853,1
1428,1,29,3293,0
1429,1,51,3591,1
1430,1,33,2030,1
1431,1,32,2519,1
1432,1,26,6302,1
1433,0,29,4645,1
1434,1,51,4197,0
1435,1,40,2418,0
1436,1,38,3473,0
1437,1,52,4951,0
1438,0,44,5510,0
1439,0,27,6261,0
1440,1,47,2334,0
1441,0,30,4519,1
1442,0,43,4428,1
1443,0,25,5416,0
1444,1,48,2736,1
1445,0,34,6948,0
1446,0,45,5898,1
1447,1,34,2398,1
1448,1,57,2030,0
1449,0,38,6971,1
1450,0,45,6990,1
1451,0,59,4328,0
1452,0,49,6045,0
1453,1,34,3179,1
1454,1,42,3113,1
1455,1,42,2998,0
1456,1,53,3079,1
1457,0,56,5987,0
1458,1,49,3209,0
1459,0,38,6077,0
1460,1,49,2097,1
1461,1,35,2022,1
1462,0,52,3912,0
1463,1,55,2650,0
1464,1,29,3100,1
1465,0,30,6233,1
1466,0,46,5807,1
1467,0,36,2869,1
1468,0,25,6883,1
1469,0,51,6382,0
1470,1,37,2911,1
1471,1,43,2383,1
1472,1,39,3179,0
1473,0,31,6750,1
1474,1,41,5242,0
1475,0,25,2514,0
1476,0,54,4671,0
1477,1,52,2364,1
1478,0,30,6130,1
1479,0,28,6807,0
1480,1,31,3406,0
1481,1,28,4585,0
1482,0,58,5941,0
1483,1,33,6609,0
1484,1,41,4282,1
1485,1,33,2172,1
1486,1,47,2823,1
1487,1,52,3018,1
1488,0,56,3796,0
1489,1,47,2258,0
1490,1,27,3471,0
1491,1,43,4131,1
1492,1,36,3241,1
1493,0,45,6475,1
1494,1,39,2697,1
1495,0,53,5131,0
1496,0,37,6073,1
1497,1,27,3994,0
1498,0,53,5320,0
1499,0,39,5362,0
1500,1,50,2940,1
1501,0,51,6713,0
1502,0,35,6807,1
1503,1,47,3449,0
1504,0,36,3438,0
1505,1,25,3856,1
1506,0,30,6011,0
1507,0,43,3967,0
1508,0,31,6662,1
1509,1,33,4988,0
1510,1,57,2136,0
1511,0,47,6803,0
1512,0,56,6951,1
1513,1,25,2836,0
1514,0,38,6780,0
1515,0,27,5075,1
1516,1,45,3492,0
1517,1,38,4030,0
1518,1,45,5532,0
1519,1,32,2189,1
1520,1,52,4083,0
1521,1,27,2515,1
1522,0,35,6646,1
1523,1,30,3325,1
1524,1,42,2915,0
1525,0,56,6208,1
1526,1,55,5476,1
1527,0,55,6978,0
1528,1,58,2260,0
1529,0,56,5949,1
1530,1,43,3714,1
1531,0,49,4797,0
1532,0,44,6348,1
1533,0,53,5405,0
1534,0,53,6473,1
1535,0,52,6823,1
1536,1,47,3926,1
1537,1,34,3394,0
1538,0,48,4541,1
1539,1,35,3849,1
1540,1,33,4445,1
1541,1,59,3661,0
1542,0,30,5814,1
1543,1,26,3642,0
1544,1,56,2409,1
1545,0,47,5518,1
1546,1,58,5139,0
1547,1,30,2874,0
1548,0,41,6719,0
1549,0,31,6692,1
1550,0,41,6040,1
1551,1,51,3071,1
1552,1,28,2514,1
1553,1,43,5401,1
1554,1,51,2957,1
1555,1,59,5042,0
1556,0,59,3869,1
1557,1,57,2670,1
1558,0,48,6903,0
1559,1,48,2429,0
1560,1,57,2292,1
1561,1,37,3253,0
1562,1,45,2169,1
1563,0,33,5665,1
1564,0,25,4896,0
1565,1,46,2791,1
1566,1,48,2897,0
1567,1,55,3167,1
1568,0,41,6601,0
1569,0,31,5841,1
1570,0,39,6651,1
1571,1,41,2723,1
1572,0,41,4952,1
1573,0,25,5073,0
1574,1,25,4309,1
1575,1,35,2129,1
1576,1,37,2620,1
1577,1,41,6056,1
1578,1,57,2653,0
1579,1,41,2057,1
1580,1,50,2558,0
1581,1,58,6561,0
1582,1,51,2984,1
1583,1,32,4822,1
1584,1,48,3880,1
1585,1,49,4786,0
1586,0,46,4223,1
1587,1,52,4732,0
1588,1,27,4248,0
1589,1,57,4422,1
1590,1,38,2363,1
1591,0,33,6659,0
1592,1,54,3133,1
1593,1,44,5826,0
1594,1,49,6518,1
1595,0,57,4822,0
1596,0,55,5960,1
1597,0,29,6754,0
1598,1,47,5699,0
1599,1,35,3338,0
1600,0,47,6678,0
1601,1,37,5233,1
1602,0,32,5363,1
1603,1,37,3634,0
1604,0,50,3349,1
1605,1,28,3890,1
1606,1,30,3624,1
1607,1,43,3163,0
1608,0,26,6143,0
1609,1,29,4220,1
1610,1,35,4223,0
1611,1,35,2741,1
1612,1,56,3208,1
1613,0,42,5174,0
1614,0,29,3176,1
1615,1,59,3890,0
1616,1,33,3017,0
1617,1,59,2101,1
1618,1,55,4426,0
1619,1,48,3745,0
1620,1,33,2653,1
1621,0,41,3722,0
1622,0,33,6823,1
1623,1,45,2654,1
1624,1,56,4041,1
1625,1,28,3207,1
1626,1,32,3857,1
1627,0,59,6604,1
1628,1,39,3000,0
1629,1,52,2999,0
1630,1,50,5550,1
1631,0,44,5544,1
1632,1,26,3842,1
1633,1,44,3817,0
1634,0,35,4909,1
1635,0,38,6592,0
1636,0,55,4518,0
1637,0,51,5225,0
1638,1,45,4364,0
1639,0,52,6277,0
1640,1,39,3123,1
1641,1,56,5460,0
1642,0,48,4998,1
1643,1,37,2944,0
1644,1,38,3622,0
1645,0,43,6765,1
1646,1,25,2746,1
1647,1,27,2275,1
1648,1,29,2939,1
1649,0,58,6143,0
1650,1,45,2030,1
1651,1,52,3963,1
1652,0,56,3863,0
1653,0,50,6831,1
1654,1,48,4895,0
1655,1,48,5279,1
1656,0,39,5648,0
1657,0,27,4588,1
1658,1,48,3853,1
1659,1,48,4138,0
1660,0,52,6395,1
1661,1,48,2754,1
1662,0,39,5084,1
1663,1,27,2844,0
1664,1,51,2155,0
1665,0,45,6365,1
1666,0,57,4229,1
1667,1,33,4503,0
1668,0,31,5525,0
1669,1,48,3686,1
1670,0,38,6805,1
1671,1,55,5018,1
1672,0,34,5802,1
1673,1,27,2251,1
1674,1,45,2636,0
1675,1,27,2466,0
1676,1,42,4857,0
1677,1,31,4968,0
1678,1,52,4823,0
1679,1,29,3243,0
1680,1,56,2593,1
1681,0,33,5027,0
1682,1,33,3623,1
1683,1,39,3968,0
1684,1,27,4147,0
1685,1,45,3891,1
1686,0,59,4778,1
1687,1,35,5027,0
1688,1,31,5327,0
1689,0,36,6429,1
1690,1,45,4107,0
1691,1,33,5552,1
1692,1,52,2677,1
1693,0,39,4808,0
1694,0,47,5916,1
1695,1,39,2171,1
1696,1,47,3541,0
1697,1,57,2350,1
1698,1,29,2226,0
1699,0,56,6541,0
1700,0,25,6255,1
1701,1,29,2342,0
1702,1,32,2620,0
1703,1,28,6438,0
1704,0,32,4920,0
1705,1,53,2634,1
1706,1,59,4803,1
1707,0,37,5261,0
1708,1,59,2951,0
1709,0,49,6748,0
1710,1,46,3445,0
1711,1,48,3672,0
1712,0,46,3600,0
1713,1,34,4984,1
1714,1,35,2034,1
1715,0,59,6263,1
1716,1,57,3692,0
1717,0,48,6380,0
1718,0,34,3749,1
1719,0,51,2399,0
1720,0,51,5328,1
1721,1,25,3586,0
1722,0,51,5285,0
1723,1,51,5726,0
1724,0,26,5839,0
1725,1,44,5378,1
1726,1,30,6888,1
1727,1,57,2700,0
1728,1,52,3991,0
1729,1,35,3951,1
1730,0,39,6794,0
1731,0,41,5866,0
1732,1,51,3039,1
1733,0,43,6070,0
1734,0,31,6739,0
1735,1,39,2718,0
1736,1,44,2190,0
1737,1,28,3370,0
1738,1,46,3561,1
1739,1,47,2271,1
1740,0,30,4653,1
1741,1,56,2106,1
1742,1,31,4391,1
1743,1,50,4399,1
1744,1,57,4208,0
1745,1,45,2788,1
1746,1,45,2324,1
1747,0,39,4154,1
1748,0,44,6029,0
1749,0,48,4954,0
1750,1,45,3207,0
1751,1,45,2691,0
1752,1,30,2676,1
1753,1,33,2020,1
1754,0,50,6750,0
1755,0,43,5848,1
1756,1,54,3218,0
1757,0,38,4180,0
1758,1,41,2303,0
1759,1,45,3689,1
1760,0,30,6646,0
1761,1,53,3362,0
1762,1,26,3213,0
1763,0,38,5772,1
1764,0,44,5152,1
1765,1,56,3253,0
1766,0,34,5376,1
1767,0,34,6552,1
1768,1,54,3355,1
1769,1,54,2341,0
1770,1,30,2378,1
1771,1,57,2927,1
1772,0,57,5381,0
1773,1,58,2575,1
1774,1,52,5667,1
1775,1,31,2507,0
1776,1,48,2960,0
1777,0,42,5801,1
1778,1,35,4663,0
1779,0,55,6704,0
1780,1,54,3743,1
1781,0,52,6509,1
1782,1,56,2216,0
1783,1,44,5881,1
1784,0,39,6405,1
1785,1,52,6501,1
1786,1,56,4486,1
1787,1,52,3932,1
1788,1,53,2309,0
1789,1,29,3403,0
1790,1,31,3375,1
1791,0,34,5650,0
1792,0,51,6672,0
1793,1,28,2437,0
1794,0,37,4698,1
1795,1,57,4928,1
1796,1,45,2119,0
1797,0,36,5544,0
1798,1,42,4034,0
1799,0,38,6108,1
1800,0,32,6359,0
1801,0,36,4900,1
1802,0,53,4170,0
1803,0,46,3248,0
1804,1,33,4009,0
1805,1,54,6109,0
1806,1,44,3936,0
1807,1,34,3488,1
1808,0,58,3646,0
1809,0,58,6880,0
1810,0,49,4750,0
1811,1,25,3833,1
1812,0,30,6377,0
1813,1,47,2194,0
1814,0,33,6606,0
1815,1,38,4266,1
1816,0,36,5963,0
1817,1,39,2710,0
1818,1,41,4944,0
1819,1,55,3677,1
1820,1,37,3705,0
1821,1,31,2698,0
1822,1,40,4912,1
1823,0,48,6602,0
1824,0,28,3558,0
1825,1,35,2598,0
1826,0,35,4380,0
1827,0,45,6839,1
1828,1,27,2551,1
1829,1,26,3705,1
1830,1,40,3157,0
1831,1,45,2821,0
1832,0,37,6953,1
1833,1,43,4684,1
1834,1,30,3025,0
1835,0,39,5939,0
1836,0,48,6267,0
1837,1,55,4142,1
1838,1,56,3110,0
1839,0,38,5101,0
1840,1,43,2778,1
1841,0,56,6949,1
1842,0,33,6454,1
1843,1,40,3691,0
1844,0,58,5122,0
1845,1,55,4073,1
1846,1,32,2275,0
1847,1,31,3120,1
1848,1,33,2128,0
1849,0,45,5944,0
1850,0,45,6531,1
1851,1,52,2314,1
1852,0,38,5879,1
1853,0,53,5913,0
1854,0,45,5254,0
1855,1,31,3461,1
1856,1,42,2892,1
1857,1,45,5441,1
1858,0,43,5646,1
1859,1,34,2774,1
1860,1,52,4767,1
1861,1,56,2056,0
1862,0,58,5135,0
1863,1,35,3654,1
1864,1,59,5634,0
1865,1,58,3753,0
1866,1,57,2890,1
1867,0,32,4106,0
1868,1,54,3498,0
1869,0,34,5045,1
1870,1,26,2758,0
1871,1,27,2019,0
1872,1,54,4448,1
1873,0,52,6916,1
1874,0,30,4988,1
1875,1,25,5054,1
1876,1,28,2217,0
1877,1,30,3733,0
1878,1,36,3477,0
1879,1,45,4583,1
1880,0,34,5058,0
1881,1,36,5657,1
1882,1,45,5839,1
1883,0,35,4725,0
1884,0,33,5935,0
1885,0,53,3017,0
1886,1,49,3206,1
1887,1,25,5340,1
1888,1,51,4590,1
1889,1,28,4994,0
1890,0,28,6827,1
1891,0,27,6247,1
1892,0,56,5315,0
1893,1,39,2459,0
1894,0,37,2782,0
1895,1,42,4931,1
1896,1,47,5722,1
1897,1,58,4175,0
1898,0,47,6669,1
1899,1,58,3274,0
1900,1,30,2307,0
1901,0,44,6370,0
1902,1,56,2012,0
1903,0,37,6633,1
1904,1,50,3422,1
1905,1,39,2011,1
1906,1,46,6292,0
1907,1,38,5079,0
1908,1,38,5266,0
1909,1,33,2303,1
1910,1,28,2028,0
1911,0,26,6970,1
1912,1,44,2456,1
1913,1,43,3822,1
1914,0,52,6629,1
1915,1,25,2740,1
1916,0,55,6699,0
1917,0,42,6674,1
1918,0,56,3729,1
1919,1,29,5009,0
1920,1,59,3500,0
1921,0,48,5722,0
1922,1,39,3577,0
1923,1,48,2898,0
1924,0,39,6205,0
1925,1,53,4952,1
1926,1,27,5187,1
1927,1,44,3562,0
1928,0,52,6908,1
1929,0,30,6708,1
1930,1,53,5131,0
1931,0,55,4740,1
1932,0,54,5862,1
1933,0,47,5619,0
1934,1,45,4377,0
1935,1,38,2808,0
1936,0,52,6190,1
1937,0,54,4571,1
1938,1,55,3177,0
1939,1,48,3083,1
1940,0,43,5459,0
1941,1,40,2511,1
1942,0,36,6891,0
1943,1,43,2393,0
1944,1,33,4089,1
1945,0,38,6498,0
1946,1,33,6884,0
1947,1,41,3892,1
1948,1,46,2202,1
1949,1,30,4906,0
1950,1,51,2189,0
1951,1,27,4657,1
1952,1,31,2382,0
1953,1,31,3039,0
1954,0,40,4207,0
1955,0,51,6862,1
1956,0,47,6500,1
1957,0,56,4654,1
1958,1,30,4917,0
1959,1,33,3724,0
1960,0,46,6933,1
1961,1,25,6730,0
1962,1,35,3385,0
1963,1,35,3259,1
1964,0,46,6746,0
1965,0,32,6108,1
1966,0,59,4922,1
1967,1,32,3334,1
1968,1,47,4001,1
1969,1,45,2247,0
1970,0,58,6566,1
1971,0,49,4214,0
1972,1,40,2937,1
1973,1,44,2121,1
1974,1,45,3305,0
1975,0,51,6091,1
1976,1,57,4537,1
1977,1,50,2755,0
1978,0,41,6618,1
1979,0,48,6085,0
1980,1,49,4044,1
1981,0,28,6955,1
1982,1,37,4774,1
1983,0,38,6401,1
1984,1,31,3835,1
1985,0,57,3634,0
1986,0,40,5309,1
1987,1,50,3624,0
1988,1,38,4013,1
1989,0,35,6372,0
1990,0,55,6747,1
1991,1,29,2745,0
1992,0,43,6441,0
1993,1,43,3917,0
1994,1,52,2150,0
1995,0,35,6013,1
1996,1,55,3366,1
1997,0,42,5708,0
1998,1,50,2688,1
1999,1,49,2804,0
2000,1,49,4311,0
2001,1,34,2114,0
2002,1,39,2130,0
2003,0,38,5785,1
2004,0,35,6488,0
2005,0,26,6585,1
2006,0,39,5216,0
2007,1,37,3194,1
2008,1,25,4523,0
2009,0,29,4890,1
2010,1,53,3204,0
2011,0,25,6631,1
2012,0,34,6254,0
2013,0,41,6328,0
2014,0,35,4927,1
2015,1,55,3758,0
2016,1,50,2819,1
2017,0,56,6605,1
2018,1,53,2138,1
2019,0,29,5449,1
2020,1,57,3196,0
2021,1,58,2662,0
2022,0,58,6081,0
2023,1,42,6281,0
2024,0,33,5723,1
2025,1,59,2031,1
2026,1,40,3696,0
2027,0,32,4212,0
2028,0,49,6955,0
2029,0,32,4495,1
2030,0,40,5499,0
2031,0,31,6997,0
2032,0,31,4621,0
2033,1,35,4324,1
2034,1,37,2088,0
2035,0,39,4147,1
2036,0,47,5416,1
2037,0,41,5891,1
2038,1,39,4485,0
2039,1,48,4220,1
2040,0,35,5183,0
2041,1,33,3887,0
2042,1,40,3809,1
2043,1,27,3557,1
2044,1,59,3238,0
2045,1,50,4187,1
2046,1,37,3946,0
2047,1,50,4990,0
2048,1,25,3059,0
2049,1,33,5489,0
2050,1,51,3557,1
2051,1,42,2930,1
2052,0,56,6400,0
2053,0,51,6014,1
2054,1,28,3468,0
2055,1,54,2319,0
2056,1,40,3019,1
2057,0,33,5624,1
2058,1,36,2255,1
2059,0,33,4986,0
2060,0,27,6846,1
2061,0,51,5620,1
2062,1,39,3617,1
2063,1,39,5797,0
2064,0,27,6877,1
2065,1,35,4518,0
2066,0,37,5183,0
2067,0,58,6716,1
2068,1,44,3608,0
2069,1,58,4049,0
2070,1,46,2056,0
2071,0,51,6982,0
2072,0,55,5440,1
2073,1,39,2168,1
2074,0,36,6304,1
2075,0,52,5977,1
2076,0,47,5494,1
2077,0,54,6843,0
2078,1,47,4059,1
2079,1,50,2765,1
2080,1,25,3774,1
2081,1,42,3388,0
2082,1,41,4106,1
2083,1,29,2886,1
2084,0,37,6174,0
2085,1,48,2252,1
2086,1,40,3808,0
2087,0,55,5235,0
2088,1,27,6443,1
2089,0,25,6454,1
2090,1,42,4596,1
2091,1,33,3225,0
2092,1,36,4096,0
2093,1,47,5899,0
2094,1,43,3330,0
2095,1,48,4965,1
2096,1,32,4941,0
2097,1,39,4051,1
2098,1,46,3202,1
2099,0,47,5301,1
2100,1,56,3062,1
2101,1,58,3563,1
2102,1,58,6414,1
2103,1,32,3180,1
2104,1,31,2806,1
2105,1,56,3976,0
2106,1,34,3047,0
2107,1,26,2657,1
2108,1,25,2602,1
2109,0,30,6850,0
2110,0,52,6800,0
2111,0,43,6598,1
2112,1,35,3253,0
2113,0,56,5200,1
2114,1,43,4695,0
2115,1,57,3111,0
2116,1,31,3403,0
2117,0,27,6119,0
2118,0,42,6843,1
2119,1,31,5327,0
2120,1,53,2104,1
2121,0,39,6519,1
2122,1,38,3676,1
2123,1,32,3122,1
2124,0,28,6189,1
2125,0,55,3787,1
2126,1,43,2861,0
2127,1,51,3444,1
2128,1,43,2975,0
2129,0,30,6168,0
2130,1,57,5902,0
2131,1,36,2318,0
2132,0,59,6087,1
2133,1,33,2458,1
2134,0,51,5213,1
2135,0,34,6525,0
2136,0,37,6976,1
2137,0,54,6242,0
2138,1,44,5253,1
2139,1,49,2281,0
2140,0,53,5285,0
2141,0,50,2960,0
2142,0,34,4851,1
2143,0,54,5679,0
2144,1,29,2826,0
2145,1,37,2318,1
2146,1,29,4633,0
2147,0,57,4776,0
2148,1,25,3950,1
2149,1,39,4344,0
2150,0,45,6105,1
2151,1,54,4589,0
2152,0,51,6526,1
2153,1,49,4411,1
2154,1,31,3022,1
2155,1,36,5328,0
2156,1,39,3097,1
2157,0,47,6496,1
2158,1,29,2042,0
2159,1,50,2187,1
2160,1,54,3063,0
2161,1,58,2328,1
2162,1,31,3788,1
2163,0,27,6558,0
2164,1,41,2728,1
2165,0,30,6838,1
2166,0,57,5274,1
2167,0,30,6951,1
2168,1,44,2347,1
2169,1,47,3024,0
2170,1,27,4163,1
2171,1,47,2629,0
2172,0,32,5589,0
2173,1,32,4581,0
2174,1,39,6472,1
2175,0,38,5073,0
2176,0,46,4286,1
2177,0,56,5155,1
2178,0,45,5541,1
2179,1,50,3178,0
2180,0,25,6515,0
2181,1,27,3726,0
2182,0,42,6074,0
2183,1,36,2471,1
2184,0,53,4463,0
2185,1,40,2872,0
2186,1,50,2244,1
2187,1,46,4013,0
2188,1,38,3851,0
2189,1,43,2889,0
2190,0,35,5922,0
2191,1,52,2767,0
2192,1,57,2923,0
2193,0,44,6249,1
2194,1,29,5515,0
2195,0,51,5339,1
2196,1,44,3305,1
2197,1,28,3108,0
2198,1,43,3212,1
2199,0,41,4331,1
2200,1,39,2901,0
2201,0,25,2546,0
2202,1,42,4054,0
2203,0,36,5576,0
2204,1,50,3742,0
2205,1,51,2728,1
2206,1,40,2964,0
2207,1,55,4483,1
2208,1,45,5788,1
2209,0,59,6824,0
2210,1,50,5098,0
2211,0,50,5782,1
2212,0,28,4786,0
2213,1,56,2789,1
2214,0,56,5165,1
2215,1,51,2222,1
2216,1,38,2397,1
2217,0,53,5673,0
2218,1,50,2283,1
2219,0,50,6534,0
2220,1,26,3716,0
2221,1,56,5497,0
2222,0,37,5792,0
2223,1,57,3177,0
2224,1,53,4871,1
2225,0,37,3977,1
2226,0,41,4308,0
2227,0,26,6688,1
2228,0,54,6196,1
2229,1,26,2422,0
2230,1,58,3574,1
2231,0,46,4005,1
2232,0,29,5543,0
2233,1,58,3910,0
2234,0,50,6673,0
2235,1,41,2183,0
2236,1,25,5542,0
2237,0,53,4736,1
2238,1,59,2066,0
2239,1,47,5284,1
2240,1,39,2387,1
2241,1,32,2979,1
2242,0,44,6408,0
2243,1,53,2485,0
2244,0,29,6251,1
2245,1,39,2448,0
2246,1,37,4490,0
2247,1,38,3569,0
2248,1,41,3022,1
2249,1,46,2516,0
2250,0,58,5866,0
2251,0,53,6523,1
2252,1,25,4295,1
2253,0,31,4142,0
2254,0,54,5665,0
2255,1,29,2991,0
2256,1,29,2949,0
2257,1,55,3992,1
2258,1,28,4546,1
2259,0,41,5371,0
2260,0,27,5881,1
2261,1,59,2377,1
2262,1,37,3431,0
2263,0,26,4837,1
2264,1,53,4992,1
2265,1,34,5587,1
2266,1,52,2951,0
2267,1,47,2244,0
2268,1,36,2591,1
2269,1,49,5554,0
2270,1,25,2388,0
2271,0,37,6841,1
2272,1,46,3187,0
2273,1,37,4058,0
2274,1,39,2258,0
2275,1,27,3795,1
2276,1,46,4813,1
2277,0,50,4604,0
2278,1,55,3238,0
2279,1,46,2471,1
2280,0,46,5941,0
2281,1,37,3720,1
2282,1,52,3682,1
2283,1,41,2701,1
2284,1,25,5597,1
2285,1,58,3847,1
2286,0,37,5567,1
2287,1,50,4399,0
2288,1,44,3570,0
2289,1,34,3475,0
2290,0,50,6301,0
2291,1,35,4762,1
2292,0,28,6781,1
2293,1,33,2251,0
2294,1,38,3249,1
2295,1,32,2510,1
2296,1,46,5530,1
2297,0,56,5999,1
2298,0,53,5944,0
2299,0,58,6489,1
2300,1,34,2524,0
2301,0,33,4749,0
2302,0,54,6344,0
2303,0,44,6724,0
2304,0,59,5347,1
2305,0,50,5636,0
2306,1,35,2881,0
2307,1,25,2763,1
2308,0,37,4626,0
2309,0,59,6340,1
2310,1,44,3513,1
2311,1,40,4598,0
2312,1,57,3102,0
2313,0,53,6846,0
2314,1,32,3164,0
2315,1,37,3913,0
2316,0,57,6090,1
2317,0,52,6216,0
2318,1,58,2403,1
2319,1,54,4130,1
2320,1,31,2612,0
2321,1,36,3617,1
2322,0,49,6604,0
2323,1,45,2187,0
2324,0,39,5669,0
2325,1,50,3621,1
2326,1,52,3905,1
2327,1,37,3907,0
2328,0,26,5902,1
2329,0,26,5945,0
2330,0,44,3707,1
2331,1,33,5511,1
2332,1,56,3466,1
2333,0,59,5054,0
2334,1,27,2776,1
2335,1,27,3437,0
2336,1,51,3642,1
2337,1,44,3789,1
2338,1,42,3602,1
2339,0,40,5888,0
2340,0,51,6591,0
2341,1,36,2367,1
2342,1,59,3685,0
2343,1,40,4696,0
2344,1,57,2272,0
2345,1,50,6926,0
2346,0,58,6438,1
2347,0,49,4261,0
2348,0,57,5678,1
2349,0,46,5571,1
2350,1,33,2539,0
2351,1,36,3940,1
2352,1,58,2159,0
2353,1,46,2601,1
2354,1,35,4364,1
2355,0,31,5688,1
2356,1,48,3462,1
2357,0,46,6431,0
2358,0,59,4286,1
2359,1,59,3993,0
2360,0,27,5382,0
2361,0,57,6138,1
2362,1,45,4056,1
2363,1,38,5116,0
2364,0,51,6802,0
2365,0,46,6248,0
2366,1,48,2047,0
2367,0,39,5846,0
2368,0,42,6788,0
2369,0,28,5932,1
2370,0,59,6560,1
2371,0,25,6969,0
2372,1,47,2575,0
2373,1,33,3396,0
2374,1,35,3844,0
2375,1,26,3666,0
2376,1,45,2665,0
2377,1,35,2726,0
2378,0,49,6114,0
2379,0,43,6327,0
2380,0,30,6836,1
2381,1,27,3227,1
2382,1,51,4326,1
2383,0,43,6197,0
2384,1,39,4648,1
2385,1,53,3103,0
2386,1,39,3234,1
2387,0,48,6051,1
2388,1,28,2626,0
2389,1,39,3344,1
2390,1,36,5622,1
2391,1,59,2693,1
2392,0,51,5013,1
2393,1,36,2224,0
2394,0,46,6592,0
2395,1,57,2318,0
2396,1,53,3890,0
2397,1,38,4419,1
2398,1,29,2963,0
2399,1,43,2423,0
2400,1,29,3553,0
2401,1,57,5101,1
2402,0,25,5870,1
2403,1,39,4755,0
2404,1,37,2581,0
2405,0,46,4877,0
2406,0,56,6855,1
2407,1,48,2660,0
2408,1,48,3330,0
2409,1,54,2294,0
2410,0,39,6877,0
2411,0,52,5703,0
